entry_index,exit_index,entry_price,exit_price,trade_return,capital_after_trade,relative_profit
1584,1590,23114.22,23039.35,-0.003239,1017.64,-0.003239
1594,1597,23056.46,23155.43,0.004293,1022.01,0.004293
1602,1660,23109.84,23078.84,-0.001341,1020.64,-0.001341
1668,1684,23017.09,23077.63,0.00263,1023.32,0.00263
1703,1704,23099.41,23115.26,0.000686,1024.02,0.000686
1711,1717,23072.2,23033.13,-0.001693,1022.29,-0.001693
1737,1738,23041.66,23055.06,0.000582,1022.88,0.000582
1741,1773,23039.12,23062.78,0.001027,1023.93,0.001027
1775,1806,23042.29,22705.31,-0.014624,1008.96,-0.014624
1807,1814,22658.82,22733.11,0.003279,1012.27,0.003279
1826,1851,22788.8,22785.78,-0.000133,1012.13,-0.000133
1853,1854,22766.78,22780.74,0.000613,1012.75,0.000613
1867,1869,22810.07,22809.01,-4.6e-05,1012.71,-4.6e-05
1877,1878,22811.25,22826.75,0.000679,1013.39,0.000679
1891,1892,22996.91,23017.73,0.000905,1014.31,0.000905
1914,1918,22973.92,22964.98,-0.000389,1013.92,-0.000389
1935,1939,23000.69,22988.72,-0.00052,1013.39,-0.00052
1946,1979,22985.66,22982.6,-0.000133,1013.25,-0.000133
1983,1990,22956.03,22948.04,-0.000348,1012.9,-0.000348
1993,1999,22948.8,22950.03,5.4e-05,1012.96,5.4e-05
2001,2002,22938.16,22958.97,0.000907,1013.88,0.000907
2004,2006,22946.45,22964.79,0.000799,1014.69,0.000799
2007,2010,22949.3,22967.47,0.000792,1015.49,0.000792
2019,2021,22945.04,22954.07,0.000394,1015.89,0.000394
2022,2027,22916.49,22968.55,0.002272,1018.2,0.002272
2028,2029,22942.61,22950.56,0.000347,1018.55,0.000347
2030,2032,22932.41,22938.55,0.000268,1018.82,0.000268
2036,2040,22940.11,22927.99,-0.000528,1018.28,-0.000528
2045,2053,22959.13,22924.69,-0.0015,1016.76,-0.0015
2054,2061,22908.3,22903.03,-0.00023,1016.52,-0.00023
2063,2064,22908.77,22923.7,0.000652,1017.18,0.000652
2065,2066,22930.47,22952.98,0.000982,1018.18,0.000982
2069,2071,22987.96,23019.89,0.001389,1019.6,0.001389
2086,2091,23032.3,22974.97,-0.002489,1017.06,-0.002489
2093,2094,22968.24,22990.11,0.000952,1018.03,0.000952
2133,2134,23152.76,23175.64,0.000988,1019.03,0.000988
2174,2177,23341.85,23300.96,-0.001752,1017.25,-0.001752
2183,2184,23256.94,23272.53,0.00067,1017.93,0.00067
2186,2187,23145.14,23179.79,0.001497,1019.45,0.001497
2188,2190,23101.63,23108.82,0.000311,1019.77,0.000311
2193,2194,23109.4,23121.21,0.000511,1020.29,0.000511
2206,2258,23117.1,23089.43,-0.001197,1019.07,-0.001197
2273,2274,23119.76,23130.73,0.000474,1019.56,0.000474
2278,2280,23087.88,23100.67,0.000554,1020.12,0.000554
2281,2282,23077.78,23099.42,0.000938,1021.08,0.000938
2289,2292,23094.42,23096.39,8.5e-05,1021.16,8.5e-05
2293,2301,23080.97,23108.82,0.001207,1022.4,0.001207
2303,2325,23102.02,23115.99,0.000605,1023.01,0.000605
2330,2335,23117.44,23125.47,0.000347,1023.37,0.000347
2337,2348,23106.79,23098.0,-0.00038,1022.98,-0.00038
2349,2353,23085.37,23099.55,0.000614,1023.61,0.000614
2355,2371,23095.08,23070.98,-0.001044,1022.54,-0.001044
2374,2437,23072.94,22990.6,-0.003569,1018.89,-0.003569
2438,2440,22984.19,22983.33,-3.7e-05,1018.85,-3.7e-05
2451,2452,22988.96,22994.23,0.000229,1019.09,0.000229
2458,2459,22972.98,22981.81,0.000384,1019.48,0.000384
2466,2471,22982.38,22982.46,3e-06,1019.48,3e-06
2473,2479,22964.0,22982.75,0.000816,1020.31,0.000816
2480,2485,22972.82,22998.58,0.001121,1021.46,0.001121
2488,2495,22985.12,22973.52,-0.000505,1020.94,-0.000505
2496,2502,22961.14,22966.25,0.000223,1021.17,0.000223
2503,2509,22950.89,22967.72,0.000733,1021.92,0.000733
2510,2521,22955.25,22949.49,-0.000251,1021.66,-0.000251
2533,2537,22958.99,22962.17,0.000139,1021.8,0.000139
2549,2551,22952.31,22974.89,0.000984,1022.81,0.000984
2559,2561,23005.11,23015.07,0.000433,1023.25,0.000433
2594,2595,23004.03,23015.02,0.000478,1023.74,0.000478
2596,2599,23000.14,23005.66,0.00024,1023.99,0.00024
2600,2601,23003.27,23007.6,0.000188,1024.18,0.000188
2602,2605,22987.97,23003.28,0.000666,1024.86,0.000666
2606,2609,22997.15,23020.94,0.001034,1025.92,0.001034
2612,2616,23016.45,23012.94,-0.000152,1025.77,-0.000152
2619,2620,22998.76,23006.84,0.000351,1026.13,0.000351
2621,2626,22997.84,22996.3,-6.7e-05,1026.06,-6.7e-05
2627,2633,22992.65,23018.03,0.001104,1027.19,0.001104
2637,2638,23024.22,23041.09,0.000733,1027.94,0.000733
2659,2665,23013.45,22996.32,-0.000744,1027.18,-0.000744
2666,2675,22987.96,23003.11,0.000659,1027.85,0.000659
2676,2682,22998.0,23005.7,0.000335,1028.2,0.000335
2683,2694,22996.63,23006.31,0.000421,1028.63,0.000421
2695,2696,23007.88,23013.15,0.000229,1028.87,0.000229
2697,2700,22995.77,22993.37,-0.000104,1028.76,-0.000104
2702,2705,22989.6,22999.03,0.00041,1029.18,0.00041
2710,2712,22977.63,22981.52,0.000169,1029.36,0.000169
2735,2738,22991.46,22984.91,-0.000285,1029.06,-0.000285
2739,2740,22976.47,22994.0,0.000763,1029.85,0.000763
2768,2771,23236.06,23263.14,0.001165,1031.05,0.001165
2772,2776,23227.24,23144.55,-0.00356,1027.38,-0.00356
2778,2779,23129.22,23171.32,0.00182,1029.25,0.00182
2780,2790,23144.36,23143.08,-5.5e-05,1029.19,-5.5e-05
2835,2837,23197.13,23199.74,0.000113,1029.31,0.000113
2864,2869,23210.58,23201.14,-0.000407,1028.89,-0.000407
2870,2891,23198.58,23216.16,0.000758,1029.67,0.000758
2892,2916,23208.92,23200.6,-0.000358,1029.3,-0.000358
2926,2929,23301.42,23290.53,-0.000467,1028.82,-0.000467
2952,2954,23371.75,23355.03,-0.000715,1028.08,-0.000715
2976,2986,23378.49,23469.55,0.003895,1032.09,0.003895
2990,2991,23478.21,23479.08,3.7e-05,1032.12,3.7e-05
3017,3020,23488.15,23483.02,-0.000218,1031.9,-0.000218
3022,3024,23471.56,23482.01,0.000445,1032.36,0.000445
3053,3054,23494.4,23503.68,0.000395,1032.77,0.000395
3061,3063,23505.51,23509.78,0.000182,1032.95,0.000182
3073,3074,23558.72,23589.15,0.001292,1034.29,0.001292
3094,3095,23552.82,23559.52,0.000284,1034.58,0.000284
3098,3099,23573.66,23585.63,0.000508,1035.11,0.000508
3131,3133,23766.35,23830.2,0.002687,1037.89,0.002687
3135,3136,23784.78,23813.28,0.001198,1039.13,0.001198
3138,3139,23747.02,23806.65,0.002511,1041.74,0.002511
3146,3155,23745.3,23720.63,-0.001039,1040.66,-0.001039
3156,3165,23711.97,23812.9,0.004256,1045.09,0.004256
3186,3193,23755.31,23831.9,0.003224,1048.46,0.003224
3197,3213,23822.1,23787.83,-0.001439,1046.95,-0.001439
3215,3221,23772.51,23722.65,-0.002097,1044.75,-0.002097
3224,3225,23739.43,23748.0,0.000361,1045.13,0.000361
3232,3239,23738.82,23673.09,-0.002769,1042.24,-0.002769
3241,3275,23674.36,23661.89,-0.000527,1041.69,-0.000527
3276,3289,23664.86,23696.15,0.001322,1043.07,0.001322
3313,3314,23693.81,23707.17,0.000564,1043.65,0.000564
3315,3316,23689.5,23697.57,0.000341,1044.01,0.000341
3319,3324,23675.9,23704.73,0.001218,1045.28,0.001218
3343,3346,23684.62,23688.53,0.000165,1045.45,0.000165
3350,3352,23692.38,23701.98,0.000405,1045.88,0.000405
3353,3374,23694.17,23674.2,-0.000843,1044.99,-0.000843
3375,3418,23664.0,23283.6,-0.016075,1028.2,-0.016075
3419,3474,23268.22,23101.92,-0.007147,1020.85,-0.007147
3477,3480,23097.12,23126.72,0.001282,1022.16,0.001282
3482,3492,23086.66,23078.42,-0.000357,1021.79,-0.000357
3502,3505,23140.11,23199.96,0.002586,1024.43,0.002586
3518,3522,23191.81,23187.06,-0.000205,1024.22,-0.000205
3523,3527,23145.59,23157.81,0.000528,1024.76,0.000528
3538,3540,23161.01,23192.31,0.001351,1026.15,0.001351
3543,3560,23163.33,23169.63,0.000272,1026.43,0.000272
3561,3574,23143.48,23125.1,-0.000794,1025.61,-0.000794
3575,3576,23129.01,23158.79,0.001288,1026.93,0.001288
3577,3596,23147.97,22826.95,-0.013868,1012.69,-0.013868
3597,3598,22789.54,22820.01,0.001337,1014.05,0.001337
